2022-12-01/17:56:05		Error occured while validating FileName [Errno 2] No such file or directory: 'Training_Raw_files_validated/Bad_Raw'
2022-12-01/18:07:26		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/18:07:26		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/18:07:26		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/18:07:26		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/18:07:26		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/18:07:26		Error occured while validating FileName [Errno 21] Is a directory: 'Training_Batch_Files/.ipynb_checkpoints'
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/18:08:57		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
